Model,MDO4104C
Firmware Version,1.10

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-06,
Horizontal Delay,0,
Sample Interval,1e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,0.001,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1e-06,20
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH2,CH3
-4.510e-06,-2.51563e-08,12.9969
-4.509e-06,-1.625e-08,12.3906
-4.508e-06,-1.29687e-08,11.4781
-4.507e-06,-1.29687e-08,9.84375
-4.506e-06,-1.07813e-08,7.89688
-4.505e-06,-1.07813e-08,5.2625
-4.504e-06,-8.75e-09,2.50938
-4.503e-06,-9.375e-09,-0.23125
-4.502e-06,-2.375e-08,-2.69375
-4.501e-06,-2.0625e-08,-5.05625
-4.500e-06,-2.46875e-08,-7.05313
-4.499e-06,-2.9375e-08,-8.59688
-4.498e-06,-3.45313e-08,-9.675
-4.497e-06,-2.73437e-08,-10.2906
-4.496e-06,-1.32813e-08,-10.4031
-4.495e-06,-1.01563e-08,-10.2125
-4.494e-06,-5.9375e-09,-9.775
-4.493e-06,-9.0625e-09,-9.31875
-4.492e-06,-3.59375e-09,-8.5375
-4.491e-06,-5.78125e-09,-8.07188
-4.490e-06,-4.53125e-09,-7.46563
-4.489e-06,-3.28125e-09,-7.16563
-4.488e-06,-9.0625e-09,-7.04688
-4.487e-06,-3.125e-10,-6.93125
-4.486e-06,-3.125e-09,-7.06563
-4.485e-06,4.375e-09,-7.25938
-4.484e-06,5.15625e-09,-7.65625
-4.483e-06,7.34375e-09,-8.09688
-4.482e-06,8.4375e-09,-8.83125
-4.481e-06,6.5625e-09,-9.60938
-4.480e-06,1.0625e-08,-10.4188
-4.479e-06,5.625e-09,-11.3688
-4.478e-06,-7.8125e-10,-12.3
-4.477e-06,7.03125e-09,-13.0281
-4.476e-06,1.42187e-08,-13.575
-4.475e-06,9.0625e-09,-14.2438
-4.474e-06,6.25e-09,-14.4688
-4.473e-06,1.07813e-08,-14.7563
-4.472e-06,1.64063e-08,-14.8031
-4.471e-06,1.67187e-08,-14.7063
-4.470e-06,1.20313e-08,-14.6469
-4.469e-06,2.45313e-08,-14.4844
-4.468e-06,1.98438e-08,-14.1719
-4.467e-06,1.40625e-08,-14.0125
-4.466e-06,2.01562e-08,-13.75
-4.465e-06,2.4375e-08,-13.5219
-4.464e-06,3.125e-08,-13.3563
-4.463e-06,3.8125e-08,-13.1906
-4.462e-06,2.84375e-08,-13.0781
-4.461e-06,1.40625e-08,-13.1281
-4.460e-06,2.0625e-08,-13.1656
-4.459e-06,1.67187e-08,-13.2563
-4.458e-06,2.4375e-08,-13.4125
-4.457e-06,2.82813e-08,-13.6406
-4.456e-06,2.5625e-08,-13.9125
-4.455e-06,2.76562e-08,-14.1375
-4.454e-06,2.10937e-08,-14.4125
-4.453e-06,3.53125e-08,-14.6
-4.452e-06,4.1875e-08,-14.8781
-4.451e-06,3.9375e-08,-15.0625
-4.450e-06,3.4375e-08,-15.1656
-4.449e-06,3.73437e-08,-15.2313
-4.448e-06,4.84375e-08,-15.0938
-4.447e-06,3.875e-08,-15.2313
-4.446e-06,2.76562e-08,-15.2844
-4.445e-06,3.07813e-08,-15.1125
-4.444e-06,3.54687e-08,-14.8844
-4.443e-06,3.89062e-08,-14.9531
-4.442e-06,3.71875e-08,-14.7
-4.441e-06,3.25e-08,-14.7031
-4.440e-06,3.82813e-08,-14.5844
-4.439e-06,4.4375e-08,-14.3906
-4.438e-06,3.98438e-08,-14.4906
-4.437e-06,4e-08,-14.4563
-4.436e-06,4.375e-08,-14.3375
-4.435e-06,5.10938e-08,-14.4219
-4.434e-06,5.64063e-08,-14.5531
-4.433e-06,5.4375e-08,-14.4906
-4.432e-06,5.17188e-08,-14.6938
-4.431e-06,5.53125e-08,-14.7625
-4.430e-06,6e-08,-14.7906
-4.429e-06,4.76563e-08,-14.9344
-4.428e-06,4e-08,-14.95
-4.427e-06,3.17188e-08,-15.0906
-4.426e-06,2.89063e-08,-15.0656
-4.425e-06,2.82813e-08,-15.0656
-4.424e-06,2.17188e-08,-15.1594
-4.423e-06,2.60938e-08,-15.1063
-4.422e-06,2.57813e-08,-15.125
-4.421e-06,1.8125e-08,-15.0156
-4.420e-06,1.10937e-08,-15.0656
-4.419e-06,2e-08,-15.0406
-4.418e-06,1.10937e-08,-15.0125
-4.417e-06,-2.65625e-09,-15.0438
-4.416e-06,-2.8125e-09,-14.8625
-4.415e-06,-1.25e-09,-14.95
-4.414e-06,-8.125e-09,-14.8063
-4.413e-06,-4.0625e-09,-14.85
-4.412e-06,5e-09,-14.7969
-4.411e-06,9.375e-10,-14.8531
-4.410e-06,2.1875e-09,-14.7688
-4.409e-06,-5.46875e-09,-14.9219
-4.408e-06,-1.40625e-09,-14.9125
-4.407e-06,9.84375e-09,-14.8344
