Model,MDO4104C
Firmware Version,1.10

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-06,
Horizontal Delay,0,
Sample Interval,4e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.05,20
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH2,CH3
-1.7888e-05,-0.0600078,-14.8344
-1.7884e-05,-0.059875,-14.8906
-1.7880e-05,-0.0598438,-14.8406
-1.7876e-05,-0.0597969,-14.9375
-1.7872e-05,-0.0596719,-14.9406
-1.7868e-05,-0.0596641,-14.9344
-1.7864e-05,-0.0595781,-14.9813
-1.7860e-05,-0.0594531,-14.95
-1.7856e-05,-0.0594063,-14.9469
-1.7852e-05,-0.0592422,-14.9406
-1.7848e-05,-0.0590781,-14.9219
-1.7844e-05,-0.059375,-15.0188
-1.7840e-05,-0.0592031,-14.9156
-1.7836e-05,-0.0590234,-14.9125
-1.7832e-05,-0.0589609,-14.9313
-1.7828e-05,-0.0587734,-14.9344
-1.7824e-05,-0.0589609,-15.0344
-1.7820e-05,-0.0587734,-14.8625
-1.7816e-05,-0.0586875,-14.9156
-1.7812e-05,-0.0585859,-14.8906
-1.7808e-05,-0.0586953,-15.0406
-1.7804e-05,-0.0584766,-14.9969
-1.7800e-05,-0.0585312,-15.0375
-1.7796e-05,-0.0585469,-15.0188
-1.7792e-05,-0.0583125,-14.9156
-1.7788e-05,-0.0584219,-15.0063
-1.7784e-05,-0.0585156,-15.0188
-1.7780e-05,-0.0582891,-14.9875
-1.7776e-05,-0.0579531,-14.875
-1.7772e-05,-0.0581641,-15.0375
-1.7768e-05,-0.0582109,-14.9344
-1.7764e-05,-0.0583281,-15.0188
-1.7760e-05,-0.0580078,-14.95
-1.7756e-05,-0.0578125,-14.9188
-1.7752e-05,-0.0578984,-14.9813
-1.7748e-05,-0.0578984,-14.975
-1.7744e-05,-0.0578437,-14.9938
-1.7740e-05,-0.0578125,-14.9219
-1.7736e-05,-0.0578359,-14.9906
-1.7732e-05,-0.0577969,-15.0031
-1.7728e-05,-0.0577422,-14.9719
-1.7724e-05,-0.0576172,-14.9531
-1.7720e-05,-0.0574531,-14.9062
-1.7716e-05,-0.0576094,-14.9938
-1.7712e-05,-0.0574297,-14.95
-1.7708e-05,-0.0575156,-14.9656
-1.7704e-05,-0.0573828,-14.9313
-1.7700e-05,-0.0573516,-14.9188
-1.7696e-05,-0.0574453,-14.975
-1.7692e-05,-0.0572422,-14.8813
-1.7688e-05,-0.0573281,-14.9531
-1.7684e-05,-0.0572422,-14.8656
-1.7680e-05,-0.057375,-15
-1.7676e-05,-0.0572031,-14.9781
-1.7672e-05,-0.0572422,-14.9656
-1.7668e-05,-0.0572344,-15.0219
-1.7664e-05,-0.0571797,-14.9156
-1.7660e-05,-0.0570391,-14.9625
-1.7656e-05,-0.0573203,-15.0063
-1.7652e-05,-0.0571406,-14.9688
-1.7648e-05,-0.0568672,-14.8844
-1.7644e-05,-0.0570391,-14.9563
-1.7640e-05,-0.0569297,-14.9625
-1.7636e-05,-0.0570781,-14.975
-1.7632e-05,-0.0569219,-14.9625
-1.7628e-05,-0.0569766,-14.8906
-1.7624e-05,-0.0570469,-15.0312
-1.7620e-05,-0.0568984,-14.9719
-1.7616e-05,-0.0567734,-14.9531
-1.7612e-05,-0.0569453,-14.9062
-1.7608e-05,-0.0569922,-14.9688
-1.7604e-05,-0.0567734,-14.9875
-1.7600e-05,-0.0568906,-14.9469
-1.7596e-05,-0.0568203,-14.9313
-1.7592e-05,-0.0566172,-14.9125
-1.7588e-05,-0.0568437,-14.9813
-1.7584e-05,-0.0567422,-14.9219
-1.7580e-05,-0.0567734,-14.9031
-1.7576e-05,-0.0567187,-14.925
-1.7572e-05,-0.0565703,-14.8938
-1.7568e-05,-0.0566562,-14.9813
-1.7564e-05,-0.0565703,-14.8656
-1.7560e-05,-0.0566406,-14.9281
-1.7556e-05,-0.0563594,-14.9188
-1.7552e-05,-0.0566875,-14.9531
-1.7548e-05,-0.0564141,-14.9688
-1.7544e-05,-0.0566797,-14.9313
-1.7540e-05,-0.0566562,-15.0344
-1.7536e-05,-0.0564687,-14.9219
-1.7532e-05,-0.0565469,-14.9813
-1.7528e-05,-0.0567812,-14.975
-1.7524e-05,-0.0566562,-14.9281
-1.7520e-05,-0.0563437,-14.8813
-1.7516e-05,-0.0564844,-15.0031
-1.7512e-05,-0.0564844,-14.925
-1.7508e-05,-0.0564922,-14.9375
-1.7504e-05,-0.0564297,-14.9375
-1.7500e-05,-0.0561953,-14.8938
-1.7496e-05,-0.0565078,-14.9594
-1.7492e-05,-0.0564375,-14.9438
-1.7488e-05,-0.0562969,-14.9406
-1.7484e-05,-0.0562812,-14.9313
-1.7480e-05,-0.0563672,-14.9688
-1.7476e-05,-0.0562266,-14.9656
