time	Ix(U2:Ano)	Ix(U3:Cath)
2.004594999999947e-06	-1.150073e-07	1.089678e-07
2.005104999999939e-06	-1.172665e-07	1.111616e-07
2.005614999999932e-06	-1.187846e-07	1.125990e-07
2.006124999999924e-06	-1.195614e-07	1.132799e-07
2.006634999999917e-06	-1.195970e-07	1.132044e-07
2.006644999999917e-06	-1.196070e-07	1.132122e-07
2.016884999999766e-06	-1.218529e-07	1.130904e-07
2.027124999999615e-06	-1.228406e-07	1.117534e-07
2.037364999999464e-06	-1.237931e-07	1.104625e-07
2.047604999999313e-06	-1.247122e-07	1.092170e-07
2.057844999999162e-06	-1.255990e-07	1.080153e-07
2.068084999999011e-06	-1.264549e-07	1.068557e-07
2.078324999998860e-06	-1.272807e-07	1.057369e-07
2.088564999998709e-06	-1.280776e-07	1.046574e-07
2.098804999998558e-06	-1.288465e-07	1.036158e-07
2.109044999998407e-06	-1.295886e-07	1.026108e-07
2.119284999998256e-06	-1.303046e-07	1.016411e-07
2.129524999998105e-06	-1.309955e-07	1.007055e-07
2.139764999997953e-06	-1.316622e-07	9.980273e-08
2.150004999997802e-06	-1.323056e-07	9.893165e-08
2.160244999997651e-06	-1.329264e-07	9.809118e-08
2.170484999997500e-06	-1.335254e-07	9.728022e-08
2.180724999997349e-06	-1.341034e-07	9.649775e-08
2.190964999997198e-06	-1.346612e-07	9.574276e-08
2.201204999997047e-06	-1.351994e-07	9.501428e-08
2.211444999996896e-06	-1.357187e-07	9.431139e-08
2.221684999996745e-06	-1.362198e-07	9.363318e-08
2.231924999996594e-06	-1.367034e-07	9.297880e-08
2.242164999996443e-06	-1.371700e-07	9.234740e-08
2.252404999996292e-06	-1.376202e-07	9.173817e-08
2.262644999996141e-06	-1.380546e-07	9.115033e-08
2.272884999995990e-06	-1.384739e-07	9.058315e-08
2.283124999995839e-06	-1.388783e-07	9.003588e-08
2.293364999995688e-06	-1.392687e-07	8.950783e-08
2.303604999995537e-06	-1.396453e-07	8.899832e-08
2.313844999995386e-06	-1.400087e-07	8.850671e-08
2.324084999995235e-06	-1.403594e-07	8.803237e-08
2.334324999995084e-06	-1.406977e-07	8.757468e-08
2.344564999994933e-06	-1.410242e-07	8.713306e-08
2.354804999994782e-06	-1.413392e-07	8.670695e-08
2.365044999994631e-06	-1.416432e-07	8.629581e-08
2.375284999994480e-06	-1.419365e-07	8.589910e-08
2.385524999994329e-06	-1.422196e-07	8.551633e-08
2.395764999994178e-06	-1.424927e-07	8.514699e-08
2.406004999994027e-06	-1.427562e-07	8.479063e-08
2.416244999993876e-06	-1.430105e-07	8.444678e-08
2.426484999993725e-06	-1.432558e-07	8.411501e-08
2.436724999993574e-06	-1.434925e-07	8.379488e-08
2.446964999993423e-06	-1.437210e-07	8.348600e-08
2.457204999993272e-06	-1.439414e-07	8.318796e-08
2.467444999993121e-06	-1.441541e-07	8.290040e-08
2.477684999992970e-06	-1.443593e-07	8.262293e-08
2.487924999992819e-06	-1.445573e-07	8.235520e-08
2.498164999992668e-06	-1.447483e-07	8.209688e-08
2.508404999992517e-06	-1.449327e-07	8.184762e-08
2.518644999992366e-06	-1.451106e-07	8.160712e-08
2.528884999992215e-06	-1.452822e-07	8.137506e-08
2.539124999992064e-06	-1.454479e-07	8.115115e-08
2.549364999991913e-06	-1.456077e-07	8.093510e-08
2.559604999991762e-06	-1.457619e-07	8.072664e-08
2.569844999991611e-06	-1.459107e-07	8.052551e-08
2.580084999991460e-06	-1.460542e-07	8.033143e-08
2.590324999991309e-06	-1.461927e-07	8.014417e-08
2.600564999991158e-06	-1.463264e-07	7.996348e-08
2.610804999991007e-06	-1.464554e-07	7.978914e-08
2.621044999990856e-06	-1.465798e-07	7.962092e-08
2.631284999990705e-06	-1.466999e-07	7.945861e-08
2.641524999990554e-06	-1.468158e-07	7.930200e-08
2.651764999990403e-06	-1.469276e-07	7.915089e-08
2.662004999990252e-06	-1.470354e-07	7.900508e-08
2.672244999990100e-06	-1.471395e-07	7.886439e-08
2.682484999989949e-06	-1.472399e-07	7.872865e-08
2.692724999989798e-06	-1.473368e-07	7.859767e-08
2.702964999989647e-06	-1.474304e-07	7.847128e-08
2.713204999989496e-06	-1.475206e-07	7.834934e-08
2.723444999989345e-06	-1.476076e-07	7.823168e-08
2.733684999989194e-06	-1.476916e-07	7.811815e-08
2.743924999989043e-06	-1.477727e-07	7.800860e-08
2.754164999988892e-06	-1.478509e-07	7.790290e-08
2.764404999988741e-06	-1.479263e-07	7.780092e-08
2.774644999988590e-06	-1.479992e-07	7.770252e-08
2.784884999988439e-06	-1.480694e-07	7.760757e-08
2.795124999988288e-06	-1.481372e-07	7.751595e-08
2.805364999988137e-06	-1.482026e-07	7.742755e-08
2.815604999987986e-06	-1.482657e-07	7.734226e-08
2.825844999987835e-06	-1.483266e-07	7.725995e-08
2.836084999987684e-06	-1.483854e-07	7.718055e-08
2.846324999987533e-06	-1.484421e-07	7.710393e-08
2.856564999987382e-06	-1.484968e-07	7.702999e-08
2.866804999987231e-06	-1.485495e-07	7.695866e-08
2.877044999987080e-06	-1.486005e-07	7.688983e-08
2.887284999986929e-06	-1.486496e-07	7.682342e-08
2.897524999986778e-06	-1.486970e-07	7.675933e-08
2.907764999986627e-06	-1.487428e-07	7.669750e-08
2.918004999986476e-06	-1.487869e-07	7.663785e-08
2.928244999986325e-06	-1.488295e-07	7.658028e-08
2.938484999986174e-06	-1.488706e-07	7.652473e-08
2.948724999986023e-06	-1.489103e-07	7.647114e-08
2.958964999985872e-06	-1.489486e-07	7.641943e-08
2.969204999985721e-06	-1.489855e-07	7.636954e-08
2.979444999985570e-06	-1.490211e-07	7.632139e-08
2.989684999985419e-06	-1.490555e-07	7.627494e-08
2.999924999985268e-06	-1.490887e-07	7.623012e-08
3.000110714273086e-06	-1.494703e-07	7.658451e-08
3.000296428560904e-06	-1.496116e-07	7.671492e-08
3.000482142848723e-06	-1.495127e-07	7.662135e-08
3.000667857136541e-06	-1.491735e-07	7.630380e-08
3.000853571424360e-06	-1.485941e-07	7.576227e-08
3.001039285712178e-06	-1.477743e-07	7.499676e-08
3.001224999999996e-06	-1.467143e-07	7.400727e-08
3.001363571428568e-06	-1.425097e-07	7.008808e-08
3.001502142857140e-06	-1.374487e-07	6.534068e-08
3.001640714285711e-06	-1.315312e-07	5.976507e-08
3.001779285714282e-06	-1.247574e-07	5.336125e-08
3.001917857142854e-06	-1.171270e-07	4.612921e-08
3.002056428571426e-06	-1.086403e-07	3.806897e-08
3.002194999999997e-06	-9.929707e-08	2.918051e-08
3.002469285714279e-06	-8.676704e-08	1.701763e-08
3.002743571428561e-06	-7.585784e-08	6.402299e-09
3.003017857142843e-06	-6.656948e-08	-2.665488e-09
3.003292142857124e-06	-5.890195e-08	-1.018573e-08
3.003566428571406e-06	-5.285527e-08	-1.615842e-08
3.003840714285687e-06	-4.842941e-08	-2.058357e-08
3.004114999999969e-06	-4.562440e-08	-2.346118e-08
3.004704999999960e-06	-4.092582e-08	-2.812908e-08
3.005294999999952e-06	-3.704610e-08	-3.196020e-08
3.005884999999943e-06	-3.398524e-08	-3.495454e-08
3.006474999999934e-06	-3.174323e-08	-3.711210e-08
3.007064999999926e-06	-3.032009e-08	-3.843288e-08
3.007654999999917e-06	-2.971581e-08	-3.891687e-08
3.008244999999908e-06	-2.993038e-08	-3.856409e-08
3.010104999999881e-06	-2.915707e-08	-3.891385e-08
3.020344999999730e-06	-2.793499e-08	-3.775268e-08
3.030584999999579e-06	-2.695320e-08	-3.642819e-08
3.040824999999428e-06	-2.600607e-08	-3.515004e-08
3.051064999999277e-06	-2.509226e-08	-3.391673e-08
3.061304999999126e-06	-2.421060e-08	-3.272668e-08
3.071544999998975e-06	-2.335995e-08	-3.157838e-08
3.081784999998824e-06	-2.253922e-08	-3.047037e-08
3.092024999998673e-06	-2.174736e-08	-2.940124e-08
3.102264999998522e-06	-2.098335e-08	-2.836961e-08
3.112504999998371e-06	-2.024620e-08	-2.737417e-08
3.122744999998219e-06	-1.953498e-08	-2.641366e-08
3.132984999998068e-06	-1.884876e-08	-2.548684e-08
3.143224999997917e-06	-1.818666e-08	-2.459255e-08
3.153464999997766e-06	-1.754785e-08	-2.372963e-08
3.163704999997615e-06	-1.693149e-08	-2.289699e-08
3.173944999997464e-06	-1.633680e-08	-2.209356e-08
3.184184999997313e-06	-1.576301e-08	-2.131832e-08
3.194424999997162e-06	-1.520939e-08	-2.057028e-08
3.204664999997011e-06	-1.467523e-08	-1.984849e-08
3.214904999996860e-06	-1.415984e-08	-1.915203e-08
3.225144999996709e-06	-1.366256e-08	-1.848000e-08
3.235384999996558e-06	-1.318276e-08	-1.783155e-08
3.245624999996407e-06	-1.271982e-08	-1.720585e-08
3.255864999996256e-06	-1.227314e-08	-1.660211e-08
3.266104999996105e-06	-1.184216e-08	-1.601956e-08
3.276344999995954e-06	-1.142633e-08	-1.545745e-08
3.286584999995803e-06	-1.102510e-08	-1.491506e-08
3.296824999995652e-06	-1.063797e-08	-1.439170e-08
3.307064999995501e-06	-1.026444e-08	-1.388671e-08
3.317304999995350e-06	-9.904028e-09	-1.339943e-08
3.327544999995199e-06	-9.556279e-09	-1.292926e-08
3.337784999995048e-06	-9.220747e-09	-1.247558e-08
3.348024999994897e-06	-8.897002e-09	-1.203783e-08
3.358264999994746e-06	-8.584628e-09	-1.161543e-08
3.368504999994595e-06	-8.283226e-09	-1.120786e-08
3.378744999994444e-06	-7.992410e-09	-1.081459e-08
